,job_id,category,machine,start_time,end_time,flow_time,arrival_time,processing_time
0,0,2,7,1,6,0,1,5
1,1,0,3,1,31,0,1,30
2,2,2,6,1,9,0,1,8
3,3,2,4,21,26,20,1,5
4,4,0,5,24,44,23,1,20
5,5,0,1,1,26,0,1,25
6,6,2,5,1,5,0,1,4
7,7,1,4,6,21,5,1,15
8,8,2,4,1,6,0,1,5
9,9,2,6,9,17,8,1,8
10,10,2,0,31,36,30,1,5
11,11,2,3,31,36,30,1,5
12,12,0,2,1,31,0,1,30
13,13,2,5,5,9,4,1,4
14,14,1,0,16,31,15,1,15
15,15,0,2,31,61,30,1,30
16,16,1,5,9,24,8,1,15
17,17,1,1,26,41,25,1,15
18,18,1,0,1,16,0,1,15
19,19,1,4,26,41,25,1,15
20,20,0,3,58,88,13,45,30
21,21,0,0,45,80,0,45,35
22,22,1,1,75,90,30,45,15
23,23,1,5,75,90,30,45,15
24,24,0,6,61,91,16,45,30
25,25,0,7,65,95,20,45,30
26,26,0,4,50,90,5,45,40
27,27,2,6,53,61,8,45,8
28,28,2,6,45,53,0,45,8
29,29,2,1,65,75,20,45,10
30,30,1,5,45,60,0,45,15
31,31,2,1,55,65,10,45,10
32,32,1,5,60,75,15,45,15
33,33,1,3,45,58,0,45,13
34,34,2,7,55,60,10,45,5
35,35,1,7,45,55,0,45,10
36,36,2,4,45,50,0,45,5
37,37,2,7,60,65,15,45,5
38,38,0,2,61,91,16,45,30
39,39,2,1,45,55,0,45,10
40,40,0,1,90,115,0,90,25
41,41,2,6,91,99,1,90,8
42,42,2,7,105,110,15,90,5
43,43,0,4,95,135,5,90,40
44,44,0,1,115,140,25,90,25
45,45,2,0,90,95,0,90,5
46,46,1,5,105,120,15,90,15
47,47,0,0,100,135,10,90,35
48,48,1,3,90,103,0,90,13
49,49,1,2,91,108,1,90,17
50,50,1,2,108,125,18,90,17
51,51,0,3,103,133,13,90,30
52,52,1,7,95,105,5,90,10
53,53,0,7,110,140,20,90,30
54,54,1,5,90,105,0,90,15
55,55,2,4,90,95,0,90,5
56,56,2,5,120,124,30,90,4
57,57,0,6,107,137,17,90,30
58,58,2,0,95,100,5,90,5
59,59,2,6,99,107,9,90,8
60,60,1,0,135,150,0,135,15
61,61,0,6,137,167,2,135,30
62,62,1,4,165,180,30,135,15
63,63,1,5,150,165,15,135,15
64,64,1,0,150,165,15,135,15
65,65,1,0,165,180,30,135,15
66,66,1,7,150,160,15,135,10
67,67,1,5,135,150,0,135,15
68,68,1,4,150,165,15,135,15
69,69,0,3,135,165,0,135,30
70,70,2,3,165,170,30,135,5
71,71,1,1,150,165,15,135,15
72,72,1,7,160,170,25,135,10
73,73,1,2,135,152,0,135,17
74,74,1,2,152,169,17,135,17
75,75,1,4,135,150,0,135,15
76,76,1,7,140,150,5,135,10
77,77,2,1,140,150,5,135,10
78,78,2,1,165,175,30,135,10
79,79,1,5,165,180,30,135,15
80,80,2,0,180,185,10,170,5
81,81,0,3,196,226,26,170,30
82,82,1,4,180,195,10,170,15
83,83,0,6,200,230,30,170,30
84,84,0,4,200,240,30,170,40
85,85,1,3,170,183,0,170,13
86,86,2,0,190,195,20,170,5
87,87,0,2,170,200,0,170,30
88,88,1,3,183,196,13,170,13
89,89,0,2,200,230,30,170,30
90,90,0,1,175,200,5,170,25
91,91,0,0,195,230,25,170,35
92,92,0,5,180,200,10,170,20
93,93,2,0,185,190,15,170,5
94,94,0,5,200,220,30,170,20
95,95,0,1,200,225,30,170,25
96,96,0,7,170,200,0,170,30
97,97,2,4,195,200,25,170,5
98,98,0,6,170,200,0,170,30
99,99,0,7,200,230,30,170,30
